name,time,Engine,UnAuthorized,lat,lon
demo,1678602212447855241,OFF,,,
demo,1678602259957413483,ON,0,47.203,-122.4882
demo,1678602273544045066,OFF,,,
demo,1678602390458453034,ON,0,47.203,-122.4882
demo,1678602408492323393,OFF,,,
demo,1678602414655339321,OFF,,,
demo,1678602414706866339,OFF,,,
demo,1678602414707604201,OFF,,,
demo,1678602414709820441,OFF,,,
demo,1678602414710253512,OFF,,,
demo,1678602502153643014,ON,0,47.203,-122.4882
demo,1678602508396302979,OFF,,,
demo,1678602526492981544,ON,0,47.203,-122.4882
demo,1678602528555032199,OFF,,,
demo,1678602529349021532,OFF,,,
demo,1678602559416893630,ON,0,47.203,-122.4882
demo,1678602588966312955,OFF,,,
demo,1678602589180059940,OFF,,,
demo,1678602623187894487,ON,0,47.203,-122.4882
demo,1678602638168048892,OFF,,,
demo,1678602660802480501,OFF,1,47.203,-122.4882
demo,1678603429523252454,ON,0,47.203,-122.4882
demo,1678603458538159663,OFF,,,
demo,1678603464328059932,OFF,,,
demo,1678603563443308380,ON,0,47.203,-122.4882
demo,1678603568226508412,OFF,,,
demo,1678607572112600177,ON,0,47.203,-122.4882
